title         = ASCII CSV version of worksheet 40, "Renewables: Consumption - Solar" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_solar_consumption_twh.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = terawatt-hours

"YEAR","BE","BP_EU2","BP_FSU","BP_NONOECD","BP_OAP","BP_OECD","BP_OEE","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","CN","CZ","DE","ES","FR","IT","JP","KR","US"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1971,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1972,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1973,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1974,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1975,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1976,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1977,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1978,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1979,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1980,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1981,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1982,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1983,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1984,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1985,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1986,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1987,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1988,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1989,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1990,0.0,0.011,0.0,0.002,0.0,0.385,0.001,0.0,0.003,0.012,0.0,0.372,0.0,0.387,0.002,0.0,0.001,0.006,0.0,0.004,0.001,0.0,0.371
1991,0.0,0.015,0.0,0.003,0.0,0.498,0.003,0.0,0.006,0.017,0.0,0.479,0.0,0.501,0.003,0.0,0.002,0.007,0.0,0.005,0.001,0.002,0.477
1992,0.0,0.023,0.0,0.004,0.005,0.452,0.005,0.0,0.022,0.026,0.0,0.409,0.0,0.457,0.004,0.0,0.003,0.008,0.001,0.009,0.011,0.002,0.404
1993,0.0,0.031,0.0,0.005,0.012,0.545,0.008,0.0,0.042,0.035,0.0,0.473,0.0,0.55,0.005,0.0,0.006,0.009,0.002,0.011,0.023,0.002,0.467
1994,0.0,0.033,0.0,0.006,0.015,0.584,0.008,0.0,0.053,0.038,0.0,0.499,0.0,0.59,0.006,0.0,0.008,0.01,0.002,0.011,0.029,0.003,0.492
1995,0.0,0.044,0.0,0.009,0.018,0.621,0.01,0.0,0.069,0.05,0.0,0.511,0.0,0.63,0.008,0.0,0.011,0.014,0.002,0.013,0.04,0.003,0.502
1996,0.0,0.05,0.0,0.016,0.027,0.673,0.012,0.0,0.095,0.056,0.0,0.538,0.0,0.69,0.01,0.0,0.016,0.012,0.003,0.014,0.055,0.003,0.526
1997,0.0,0.064,0.0,0.019,0.032,0.71,0.014,0.0,0.129,0.071,0.0,0.529,0.0,0.729,0.013,0.0,0.026,0.012,0.003,0.015,0.079,0.004,0.516
1998,0.0,0.076,0.0,0.023,0.037,0.762,0.017,0.0,0.175,0.084,0.0,0.525,0.0,0.784,0.016,0.0,0.032,0.014,0.004,0.016,0.118,0.004,0.508
1999,0.0,0.092,0.0,0.026,0.042,0.842,0.022,0.0,0.245,0.102,0.0,0.52,0.0,0.868,0.019,0.0,0.042,0.016,0.005,0.017,0.18,0.004,0.5
2000,0.0,0.122,0.0,0.035,0.05,0.984,0.028,0.002,0.362,0.133,0.0,0.522,0.0,1.019,0.024,0.0,0.064,0.017,0.005,0.018,0.283,0.005,0.498
2001,0.0,0.15,0.0,0.044,0.06,1.202,0.038,0.002,0.506,0.162,0.0,0.575,0.0,1.246,0.028,0.0,0.076,0.023,0.006,0.019,0.412,0.006,0.548
2002,0.0,0.257,0.0,0.081,0.071,1.495,0.05,0.022,0.692,0.271,0.0,0.59,0.0,1.576,0.041,0.0,0.162,0.031,0.007,0.021,0.573,0.007,0.56
2003,0.0,0.444,0.0,0.111,0.085,1.888,0.075,0.022,0.946,0.46,0.0,0.57,0.0,1.999,0.067,0.0,0.313,0.04,0.008,0.024,0.787,0.008,0.539
2004,0.001,0.725,0.0,0.137,0.1,2.473,0.09,0.024,1.242,0.741,0.0,0.603,0.0,2.61,0.085,0.0,0.556,0.056,0.008,0.029,1.047,0.01,0.581
2005,0.001,1.496,0.0,0.148,0.115,3.536,0.112,0.025,1.563,1.515,0.0,0.581,0.0,3.684,0.091,0.0,1.282,0.078,0.011,0.031,1.342,0.014,0.556
2006,0.002,2.542,0.0,0.169,0.137,4.852,0.125,0.027,1.887,2.564,0.0,0.543,0.0,5.021,0.101,0.001,2.22,0.169,0.012,0.035,1.645,0.004,0.513
2007,0.006,3.767,0.0,0.206,0.166,6.536,0.157,0.032,2.264,3.794,0.0,0.653,0.0,6.743,0.121,0.002,3.075,0.497,0.017,0.039,1.907,0.071,0.618
2008,0.042,7.434,0.0,0.307,0.195,10.939,0.203,0.035,2.826,7.469,0.0,0.915,0.0,11.246,0.211,0.013,4.42,2.557,0.041,0.193,2.136,0.284,0.873
2009,0.166,14.119,0.0,0.587,0.318,18.417,0.424,0.036,3.824,14.169,0.033,0.942,0.0,19.004,0.432,0.089,6.583,6.067,0.164,0.677,2.508,0.566,0.9
2010,0.56,23.12,0.0,1.03,0.443,28.875,0.728,0.039,5.284,23.203,0.043,1.335,0.0,29.906,0.787,0.616,11.683,7.104,0.606,1.906,3.283,0.772,1.224
2011,1.493,44.455,0.0,2.971,1.02,52.73,1.636,0.056,8.886,44.599,0.087,2.072,0.0,55.701,2.502,2.118,19.0,9.12,1.818,9.415,4.485,0.88,1.832
